,Staten Island All Sales For 2006 (January 2006 - December 2006),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5394,8, ,A1,16 FINGAL STREET                         ,            ,10312,1,0,1,10000,5163,1985,1,A1,1360000,2006-07-21 00:00:00
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,4, ,A1,26 EDWIN STREET                          ,            ,10312,1,0,1,7654,2277,1980,1,A1,900000,2006-09-05 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,19, ,A1,4 EDWIN STREET                           ,            ,10312,1,0,1,7258,2230,1980,1,A1,785000,2006-07-21 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5396,46, ,A1,31 TALLMAN STREET                        ,            ,10312,1,0,1,10080,4400,1991,1,A1,1200000,2006-09-27 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,7, ,A1,20 TALLMAN STREET                        ,            ,10312,1,0,1,10800,4157,1984,1,A1,1094500,2006-05-12 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,6, ,A2,246 KOCH BOULEVARD                       ,            ,10312,1,0,1,9500,2726,1985,1,A2,929000,2006-09-12 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,43, ,A1,111 LENZIE STREET                        ,            ,10312,1,0,1,6200,4280,1998,1,A1,990000,2006-06-28 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1,24 ELMBANK STREET                        ,            ,10312,1,0,1,5000,1520,1910,1,A1,0,2006-04-14 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,23, ,A2,155 BATHGATE STREET                      ,            ,10312,1,0,1,2500,732,1939,1,A2,0,2006-07-07 00:00:00
