,Manhattan All Sales For 2010 (January 2010 - December 2010),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,"Neighborhood Name 05/06/12, Descriptive Data is as of 05/06/12",,,,,,,,,,,,,,,,,,,,
1,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
2,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,372,38, ,S1,15 AVENUE D                              ,            ,10009,1,1,2,826,2240,1910,1,S1,0,2010-04-22 00:00:00
4,1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,372,38, ,S1,15 AVENUE D                              ,            ,10009,1,1,2,826,2240,1910,1,S1,593362,2010-04-22 00:00:00
5,1,ALPHABET CITY            ,02  TWO FAMILY HOMES                        ,1,376,32, ,S2,91 AVENUE D                              ,            ,10009,2,1,3,994,3799,1901,1,S2,1320000,2010-02-03 00:00:00
6,1,ALPHABET CITY            ,03  THREE FAMILY HOMES                      ,1,373,16, ,C0,326 EAST 4TH STREET                      ,            ,10009,3,0,3,2204,3921,1899,1,C0,900000,2010-12-15 00:00:00
7,1,ALPHABET CITY            ,03  THREE FAMILY HOMES                      ,1,393,9, ,C0,604 EAST 11TH   STREET                   ,            ,10009,3,0,3,2375,5110,1939,1,C0,0,2010-06-25 00:00:00
8,1,ALPHABET CITY            ,04  TAX CLASS 1 CONDOS                      ,1C,399,1102, ,R6,238 EAST 4TH   STREET                    ,-           ,10009,1,0,1,0,0,1955,1,R6,3027375,2010-08-24 00:00:00
9,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,372,39, ,C7,11 AVENUE D                              ,            ,10009,16,3,19,3419,14400,1900,2,C7,8000000,2010-02-19 00:00:00
10,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,372,39, ,C7,11 AVENUE D                              ,            ,10009,16,3,19,3419,14400,1900,2,C7,10095288,2010-02-19 00:00:00
11,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,373,17, ,C3,328 EAST 4TH   STREET                    ,            ,10009,4,0,4,2204,3372,1900,2,C3,2500000,2010-12-15 00:00:00
