,"BRONX ANNUALIZE SALE FOR YEAR 2012.  All Sales From  Jan 1, 2012 - Dec 31, 2012.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 03/31/2013  Coop Sales Files as of 03/31/2013,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of 04/19/13,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,42, ,A1,2069 BATHGATE AVE                        ,            ,10457,1,0,1,1964,1424,1899,1,A1,345376,2012-04-05 00:00:00
5,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2900,61, ,S2,406 EAST TREMONT AVENUE                  ,            ,10457,2,1,3,1855,4452,1931,1,S2,0,2012-08-31 00:00:00
6,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,158, ,B1,505 EAST 171ST STREET                    ,            ,10457,2,0,2,2000,2400,1993,1,B1,316500,2012-12-27 00:00:00
7,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2917,14, ,B1,1846 WASHINGTON AVE                      ,            ,10457,2,0,2,2943,2076,1920,1,B1,0,2012-03-07 00:00:00
8,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,85, ,B1,2241 BATHGATE AVENUE                     ,            ,10457,2,0,2,1562,3382,2004,1,B1,443776,2012-10-15 00:00:00
9,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,95, ,B2,2242 BASSFORD AVENUE                     ,            ,10457,2,0,2,1312,2300,1931,1,B2,360000,2012-01-12 00:00:00
10,2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2,511 EAST 183RD STREET                    ,            ,10458,2,1,3,2011,4280,1901,1,S2,0,2012-06-06 00:00:00
11,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2929,171, ,C0,1699 FULTON AVENUE                       ,            ,10457,3,0,3,2409,4536,2003,1,C0,0,2012-01-27 00:00:00
12,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,37, ,C0,4418 PARK AVENUE                         ,            ,10457,3,0,3,3525,3290,1899,1,C0,232161,2012-05-18 00:00:00
13,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3041,9, ,C0,448 CYRUS PLACE                          ,            ,10458,3,0,3,2500,1960,1910,1,C0,0,2012-01-21 00:00:00
14,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,4,3043,46, ,V1,1904 BATHGATE AVENUE                     ,            ,10457,3,0,3,2115,0,1910,1,C0,0,2012-07-06 00:00:00
15,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3046,28, ,C0,2092 WASHINGTON AVENUE                   ,            ,10457,3,0,3,2362,3438,2011,1,C0,135000,2012-02-24 00:00:00
16,2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,1, ,C0,2186 WASHINGTON AVENUE                   ,            ,10457,3,0,3,1505,2640,1901,1,C0,190000,2012-08-27 00:00:00
17,2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,  ,3050,41, ,  ,491 FLETCHER PLACE                       ,            ,10457,0,0,0,0,0,0,1,V0,0,2012-03-31 00:00:00
18,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,2899,44, ,C1,404 EAST 175TH ST                        ,            ,10457,8,0,8,1981,6032,1931,2,C1,570717,2012-11-20 00:00:00
19,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2913,43, ,C7,495 CLAREMONT PARKWAY                    ,            ,10457,18,2,20,4100,14480,1901,2,C7,0,2012-02-13 00:00:00
20,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,2924,1, ,C4,501 EAST 176 STREET                      ,            ,10451,6,0,6,1831,6468,1931,2,C4,0,2012-08-21 00:00:00
21,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,4, ,C1,2412 WEBSTER AVENUE                      ,            ,10458,8,0,8,4336,9240,1909,2,C1,662718,2012-01-24 00:00:00
22,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,57, ,C1,415 EAST 187TH STREET                    ,            ,10458,8,0,8,3325,8800,1910,2,C1,800000,2012-08-20 00:00:00
23,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3035,23, ,C1,446 EAST 179 STREET                      ,            ,10457,8,0,8,2805,8712,1910,2,C1,410000,2012-04-23 00:00:00
24,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3038,55, ,C1,450 EAST 184 STREET                      ,            ,10458,47,0,47,10000,40715,1926,2,C1,2913907,2012-03-15 00:00:00
25,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3050,20, ,C1,2268 WASHINGTON AVENUE                   ,            ,10457,20,0,20,4750,14900,1910,2,C1,406000,2012-07-19 00:00:00
26,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3053,25, ,C1,505 E 184TH STREET                       ,            ,10458,32,0,32,5148,22550,1910,2,C1,602000,2012-02-08 00:00:00
27,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3053,64, ,C1,490 EAST 184TH STREET                    ,            ,10458,15,0,15,3408,15375,1913,2,C1,1175000,2012-11-13 00:00:00
28,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3053,74, ,C7,2334 WASHINGTON AVENUE                   ,            ,10458,32,2,34,6675,32400,1920,2,C7,1548000,2012-02-08 00:00:00
