,"STATEN ISLAND ANNUALIZE SALE FOR YEAR 2012.  All Sales From  Jan 1, 2012 - Dec 31, 2012.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 03/31/2013  Coop Sales Files as of 03/31/2013,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of 04/19/13,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,32, ,A1,541 SYCAMORE STREET                      ,            ,10312,1,0,1,13320,4696,1985,1,A1,1200000,2012-08-15 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,38, ,A1,27 WEAVER STREET                         ,            ,10312,1,0,1,10833,2128,1980,1,A1,127500,2012-09-26 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5402,43, ,A1,295 HAROLD AVENUE                        ,            ,10312,1,0,1,6700,3348,1980,1,A1,600000,2012-05-31 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1,24 ELMBANK STREET                        ,            ,10312,1,0,1,5000,1520,1910,1,A1,237276,2012-11-29 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,23, ,A5,81 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,322500,2012-03-19 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,126, ,A5,20 MAY PLACE                             ,            ,10312,1,0,1,2475,2495,1986,1,A5,380000,2012-08-16 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,28, ,A1,96 JEANNETTE AVENUE                      ,            ,10312,1,0,1,5400,2376,1970,1,A1,535000,2012-12-06 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,33, ,A5,20 LUCY LOOP                             ,            ,10312,1,0,1,2320,2200,2000,1,A5,360000,2012-07-02 00:00:00
12,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,81, ,B2,1076 ARDEN AVENUE                        ,            ,10312,2,0,2,4200,2807,2012,1,A2,230000,2012-04-13 00:00:00
13,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,85, ,A1,1086 ARDEN AVENUE                        ,            ,10312,1,0,1,4200,882,1925,1,A1,0,2012-10-24 00:00:00
14,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6214,35, ,A5,54 EAGAN AVENUE                          ,            ,10312,1,0,1,2400,1852,2000,1,A5,0,2012-03-27 00:00:00
15,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,4, ,A1,179 BARCLAY AVENUE                       ,            ,10312,1,0,1,5000,1118,1925,1,A1,489000,2012-01-10 00:00:00
16,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,7, ,A2,175 BARCLAY AVENUE                       ,            ,10312,1,0,1,7000,1216,1925,1,A2,25000,2012-03-13 00:00:00
17,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6215,12, ,B2,165 BARCLAY AVENUE                       ,            ,10312,2,0,2,4000,2870,2012,1,A2,475000,2012-03-13 00:00:00
18,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,18, ,A1,120 SNEDEN AVENUE                        ,            ,10312,1,0,1,8400,1189,1925,1,A1,0,2012-06-11 00:00:00
19,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6216,44, ,A5,121 MOSELY AVENUE                        ,            ,10312,1,0,1,2500,2008,2001,1,A5,470000,2012-05-17 00:00:00
20,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6217,32, ,A2,10 FABIAN STREET                         ,            ,10312,1,0,1,6000,976,1970,1,A2,0,2012-08-24 00:00:00
21,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,3, ,A5,69 BARB STREET                           ,            ,10312,1,0,1,1585,1661,2004,1,A5,390000,2012-11-19 00:00:00
22,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,4, ,A5,67 BARB STREET                           ,            ,10312,1,0,1,1585,1661,2004,1,A5,387000,2012-10-23 00:00:00
23,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6221,55, ,A1,25 JEANNETTE AVENUE                      ,            ,10312,1,0,1,4160,3000,1995,1,A1,620000,2012-07-24 00:00:00
24,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6222,38, ,A5,45 LORRAINE AVENUE                       ,            ,10312,1,0,1,2400,2100,2004,1,A5,467500,2012-08-08 00:00:00
25,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6227,31, ,A1,924 CARLTON BOULEVARD                    ,            ,10312,1,0,1,8000,1344,1910,1,A1,475000,2012-01-25 00:00:00
26,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6228,47, ,A1,760 ARDEN AVENUE                         ,            ,10312,1,0,1,6000,1146,1925,1,A1,0,2012-06-19 00:00:00
27,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6229,7, ,A1,171 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,7920,2472,1955,1,A1,0,2012-04-13 00:00:00
28,5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6230,29, ,A1,640 DRUMGOOLE ROAD EAST                  ,            ,10312,1,0,1,8000,1328,1930,1,A1,434000,2012-10-23 00:00:00
