,"BRONX ANNUALIZE SALES FOR 2013.  (All Sales From  Jan 1, 2013 - Dec 31, 2013.)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 3/31/2014  Coop Sales Files as of 4/8/2014,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of 4/13/2014,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3028,25, ,A5,412 EAST 179TH STREET                    ,            ,10457,1,0,1,1842,2048,1901,1,A5,355000,2013-07-08 00:00:00
5,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVENUE                   ,            ,10458,1,0,1,1103,1290,1910,1,A1,120000,2013-11-14 00:00:00
6,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVENUE                   ,            ,10458,1,0,1,1103,1290,1910,1,A1,474819,2013-05-20 00:00:00
7,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,39, ,A1,2075 BATHGATE AVENUE                     ,            ,10457,1,0,1,1986,1344,1899,1,A1,210000,2013-03-12 00:00:00
8,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457,1,0,1,2329,1431,1901,1,A1,343116,2013-07-01 00:00:00
9,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,53, ,S1,4411 3 AVENUE                            ,            ,10457,1,1,2,2569,3750,1931,1,S1,225000,2013-08-15 00:00:00
10,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2927,130, ,B1,1467 CROTONA PLACE                       ,            ,10456,2,0,2,1900,2394,1994,1,B1,380000,2013-11-04 00:00:00
11,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,117, ,B1,3860 3 AVENUE                            ,            ,10457,2,0,2,2498,2394,1995,1,B1,390000,2013-06-24 00:00:00
12,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,1542,1542,1899,1,B3,207000,2013-06-27 00:00:00
13,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,27, ,B1,454 EAST 179 STREET                      ,            ,10457,2,0,2,1819,2340,1998,1,B1,0,2013-07-01 00:00:00
14,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,3525,2316,1899,1,B2,328000,2013-06-26 00:00:00
15,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,65, ,B2,465 EAST 185 STREET                      ,            ,10458,2,0,2,1667,1296,1910,1,B2,369000,2013-03-07 00:00:00
16,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3040,5, ,S2,4654-4656 PARK AVENUE                    ,            ,10458,2,1,3,5000,5881,1910,1,S2,308000,2013-02-28 00:00:00
17,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,54, ,B2,2043 BATHGATE AVENUE                     ,            ,10457,2,0,2,2483,1512,1901,1,B2,0,2013-08-27 00:00:00
18,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,54, ,B2,2043 BATHGATE AVENUE                     ,            ,10457,2,0,2,2483,1512,1901,1,B2,0,2013-01-09 00:00:00
19,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3052,37, ,S2,4557 3 AVENUE                            ,            ,10458,2,1,3,885,2655,1931,1,S2,0,2013-05-14 00:00:00
20,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3036,33, ,C0,2091 WASHINGTON AVENUE                   ,            ,10457,3,0,3,2022,3854,1899,1,C0,0,2013-06-27 00:00:00
21,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3037,37, ,C0,4418 PARK AVENUE                         ,            ,10457,3,0,3,3525,3290,1899,1,C0,440000,2013-02-15 00:00:00
22,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,125, ,C0,468 EAST 183 STREET                      ,            ,10458,3,0,3,1216,2916,2004,1,C0,662115,2013-01-15 00:00:00
23,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3041,11, ,C0,452 CYRUS PLACE                          ,            ,10458,3,0,3,3742,2280,1910,1,C0,0,2013-07-25 00:00:00
24,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3046,28, ,C0,2092 WASHINGTON AVENUE                   ,            ,10457,3,0,3,2362,3438,2011,1,C0,510000,2013-12-19 00:00:00
25,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3050,1, ,C0,2186 WASHINGTON AVENUE                   ,            ,10457,3,0,3,1505,2640,1901,1,C0,460000,2013-05-10 00:00:00
26,2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3036,36, ,V0,2085 WASHINGTON AVENUE                   ,            ,10457,0,0,0,2099,0,0,1,V0,40730,2013-01-09 00:00:00
27,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2908,15, ,C1,442 EAST 176 STREET                      ,            ,10457,24,0,24,4968,15396,1910,2,C1,0,2013-06-26 00:00:00
28,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2908,17, ,C1,446 EAST 176 STREET                      ,            ,10457,24,0,24,5616,15536,1931,2,C1,0,2013-06-26 00:00:00
29,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2909,12, ,C7,4196 PARK AVENUE                         ,            ,10457,10,1,11,3483,12863,1931,2,C7,0,2013-06-26 00:00:00
30,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,2917,6, ,C1,1824 WASHINGTON AVENUE                   ,            ,10457,8,0,8,3240,9340,1931,2,C1,0,2013-06-26 00:00:00
31,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,2924,37, ,C7,4173 3 AVENUE                            ,            ,10457,8,2,10,2500,7184,1931,2,C7,50000,2013-08-15 00:00:00
32,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2927,9, ,C7,3758 3 AVENUE                            ,            ,10456,18,3,21,5000,18490,1931,2,C7,0,2013-06-27 00:00:00
33,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2928,14, ,C7,538 CLAREMONT PARKWAY                    ,            ,10456,14,6,20,3425,15022,1931,2,C7,0,2013-06-27 00:00:00
34,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3038,55, ,C1,450 EAST 184TH STREET                    ,            ,10458,47,0,47,10000,40715,1926,2,C1,4050000,2013-11-01 00:00:00
35,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3040,7, ,C7,444 EAST 187 STREET                      ,            ,10458,28,2,30,5000,22500,1926,2,C7,0,2013-07-31 00:00:00
36,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3041,1, ,C7,441 EAST 187TH ST                        ,            ,10458,18,2,20,3400,15300,1910,2,C7,0,2013-07-16 00:00:00
37,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3044,29, ,C1,1991 BATHGATE AVENUE                     ,            ,10457,17,0,17,3539,15175,1908,2,C1,4948000,2013-06-26 00:00:00
38,2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3050,16, ,C7,2260 WASHINGTON AVENUE                   ,            ,10457,20,3,23,5693,16200,1927,2,C7,1897566,2013-11-08 00:00:00
