,"STATEN ISLAND ANNUALIZE SALES FOR 2013.  (All Sales From  Jan 1, 2013 - Dec 31, 2013.)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 3/31/2014  Coop Sales Files as of 4/8/2014,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of 4/13/2014,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,4, ,A1,26 EDWIN STREET                          ,            ,10312,1,0,1,7654,2277,1980,1,A1,775000,2013-08-26 00:00:00
5,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,26, ,A1,235 KOCH BOULEVARD                       ,            ,10312,1,0,1,9555,1528,1960,1,A1,630000,2013-10-23 00:00:00
6,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,10, ,A2,16 JANSEN STREET                         ,            ,10312,1,0,1,10800,2015,1980,1,A2,705000,2013-02-08 00:00:00
7,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,1, ,A2,355 HAROLD AVENUE                        ,            ,10312,1,0,1,9167,1123,1948,1,A2,0,2013-10-30 00:00:00
8,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,38, ,A1,117 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,470000,2013-10-24 00:00:00
9,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,38, ,A1,117 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,470000,2013-10-24 00:00:00
10,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5407,39, ,A2,193 BATHGATE STREET                      ,            ,10312,1,0,1,5000,808,1920,1,A2,0,2013-12-04 00:00:00
11,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,39, ,A1,23 SANDGAP STREET                        ,            ,10312,1,0,1,2700,684,1950,1,A1,395000,2013-10-09 00:00:00
12,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,39, ,A1,23 SANDGAP STREET                        ,            ,10312,1,0,1,2700,684,1950,1,A1,200500,2013-05-13 00:00:00
13,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5426,38, ,A1,25 OCEAN DRIVEWAY                        ,            ,10312,1,0,1,7440,3176,2001,1,A1,0,2013-07-18 00:00:00
14,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,16, ,A5,93 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,348000,2013-06-20 00:00:00
15,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,29, ,A5,69 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,285000,2013-11-08 00:00:00
16,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,46, ,A5,58 SEGUINE PLACE                         ,            ,10312,1,0,1,2243,1373,1986,1,A5,0,2013-12-18 00:00:00
17,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,54, ,A5,40 SEGUINE PLACE                         ,            ,10312,1,0,1,2023,1068,1986,1,A5,0,2013-10-22 00:00:00
18,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,54, ,A5,40 SEGUINE PLACE                         ,            ,10312,1,0,1,2023,1068,1986,1,A5,0,2013-10-22 00:00:00
19,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,55, ,A5,36 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,0,2013-02-15 00:00:00
20,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,67, ,A5,22 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,0,2013-06-21 00:00:00
21,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,20, ,A5,9 EAGAN AVENUE                           ,            ,10312,1,0,1,1508,1521,1986,1,A5,358000,2013-06-17 00:00:00
22,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,34, ,A5,100 SEGUINE PLACE                        ,            ,10312,1,0,1,1550,1521,1986,1,A5,333000,2013-10-07 00:00:00
23,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,44, ,A5,50 LUCY LOOP                             ,            ,10312,1,0,1,2700,2200,2000,1,A5,0,2013-02-04 00:00:00
24,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,39, ,A2,130 FABIAN STREET                        ,            ,10312,1,0,1,10000,1464,1955,1,A2,580000,2013-11-20 00:00:00
25,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,11, ,A1,25 FABIAN STREET                         ,            ,10312,1,0,1,10000,2488,1970,1,A1,0,2013-12-16 00:00:00
26,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,18, ,A1,120 SNEDEN AVENUE                        ,            ,10312,1,0,1,8400,1189,1925,1,A1,0,2013-11-19 00:00:00
27,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,32, ,A1,8 EAGAN AVENUE                           ,            ,10312,1,0,1,2500,1630,2005,1,A1,0,2013-01-30 00:00:00
28,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312,1,0,1,2333,1515,1994,1,A5,355000,2013-12-19 00:00:00
29,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,16, ,A5,94 LORRAINE AVENUE                       ,            ,10312,1,0,1,1650,2285,2004,1,A5,400000,2013-05-06 00:00:00
30,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,30, ,A5,18 LORRAINE AVENUE                       ,            ,10312,1,0,1,16541,1816,2002,1,A5,440000,2013-05-15 00:00:00
31,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,57, ,A5,28 ENDVIEW STREET                        ,            ,10312,1,0,1,2678,1816,2003,1,A5,0,2013-04-22 00:00:00
32,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,61, ,A5,36 ENDVIEW STREET                        ,            ,10312,1,0,1,1648,1816,2003,1,A5,360000,2013-09-11 00:00:00
33,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6221,13, ,A1,1004 ARDEN AVENUE                        ,            ,10312,1,0,1,3675,770,1925,1,A1,325000,2013-12-13 00:00:00
34,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,45, ,A5,33 LORRAINE AVENUE                       ,            ,10312,1,0,1,2400,2100,2004,1,A5,0,2013-05-14 00:00:00
35,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,49, ,A1,790 ANNADALE ROAD                        ,            ,10312,1,0,1,3720,960,1925,1,A1,0,2013-12-05 00:00:00
36,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,123, ,A2,961 CARLTON BOULEVARD                    ,            ,10312,1,0,1,9180,900,1960,1,A2,225000,2013-12-30 00:00:00
37,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,31, ,A1,150 DETROIT AVE                          ,            ,10312,1,0,1,4000,2196,2012,1,A1,722957,2013-05-23 00:00:00
38,5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,33, ,A2,146 DETROIT AVENUE                       ,            ,10312,1,0,1,4000,1848,1965,1,A2,0,2013-05-01 00:00:00
