,"BRONX ANNUALIZE SALE FOR 2015.  (All Sales From  January 1, 2015 - December 31, 2015)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 3/31/2016.  Coop Sales Files as of 4/1/2016.,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name 4/1/16.  Descriptive Data as of 4/1/16.,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9,0,2015-08-07 00:00:00
5,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9,0,2015-08-07 00:00:00
6,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,1287,2528,1899,1,S1,0,2015-12-18 00:00:00
7,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVE                      ,            ,10458,1,0,1,1103,1290,1910,1,A1,300000,2015-02-20 00:00:00
8,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1,0,2015-08-18 00:00:00
9,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1,400000,2015-07-01 00:00:00
10,2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,87, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458,1,2,3,1911,4080,1931,1,S0,510000,2015-01-06 00:00:00
11,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,0,2015-12-12 00:00:00
12,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,139, ,B1,3823 3 AVENUE                            ,            ,10457,2,0,2,2000,2400,1993,1,B1,430000,2015-08-04 00:00:00
13,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,2000,2400,1993,1,B1,10000,2015-06-02 00:00:00
14,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,118, ,B1,3862 3RD AVENUE                          ,            ,10457,2,0,2,2451,2394,1995,1,B1,389000,2015-01-29 00:00:00
15,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,3165,2394,1995,1,B1,505000,2015-08-05 00:00:00
16,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,3165,2394,1995,1,B1,250000,2015-02-19 00:00:00
17,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2,490000,2015-09-28 00:00:00
18,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3,1000,2015-12-28 00:00:00
19,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3,1000,2015-10-20 00:00:00
20,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,203, ,B3,4461 PARK AVENUE                         ,            ,10457,2,0,2,1592,1860,1899,1,B3,100000,2015-08-20 00:00:00
21,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,4124,2340,1998,1,B1,228000,2015-11-16 00:00:00
22,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,3525,2316,1899,1,B2,128778,2015-05-29 00:00:00
23,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,58, ,B1,465 EAST 179 STREET                      ,            ,10457,2,0,2,1984,2340,1998,1,B1,420000,2015-04-23 00:00:00
24,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,2133,2006,1,B1,0,2015-10-13 00:00:00
25,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,44, ,B1,444 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2060,1901,1,B1,500,2015-02-23 00:00:00
26,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,4, ,B1,2034 BATHGATE AVENUE                     ,            ,10457,2,0,2,1575,1710,1998,1,B1,0,2015-09-09 00:00:00
27,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1258,2340,1901,1,B9,10,2015-01-19 00:00:00
28,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,65, ,B2,508 EAST 183 STREET                      ,            ,10458,2,0,2,1316,2112,1901,1,B2,449000,2015-06-08 00:00:00
29,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457,2,0,2,1301,2300,1901,1,B2,261000,2015-09-25 00:00:00
30,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458,2,0,2,1420,2805,1901,1,B9,393600,2015-04-01 00:00:00
31,2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,109, ,B3,2315 BASSFORD AVENUE                     ,            ,10458,2,0,2,1202,1966,1901,1,B3,232215,2015-08-18 00:00:00
32,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3037,107, ,C0,459 EAST 181 STREET                      ,            ,10457,3,0,3,1095,2779,2006,1,C0,100,2015-03-16 00:00:00
33,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,125, ,C0,468 E 183 STREET                         ,            ,10458,3,0,3,1216,2916,2004,1,C0,435919,2015-05-29 00:00:00
34,2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,126, ,C0,470 EAST 183RD STREET                    ,            ,10458,3,0,3,1278,2955,2004,1,C0,0,2015-10-21 00:00:00
