,"STATEN ISLAND ANNUALIZE SALE FOR 2018.  (All Sales From  January 1, 2018 - December 31, 2018)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Sales File as of 4/11/2019.  Coop Sales Files as of 4/11/2019.,,,,,,,,,,,,,,,,,,,,
1,Neighborhood Name and Descriptive Data is as of Final Roll 18/19,,,,,,,,,,,,,,,,,,,,
2,Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
3,"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,65,,A3,22 BLUE HERON DRIVE,,10312,1,0,1,8000,3000,1987,1,A3,1185000,2018-03-19 00:00:00
5,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,8,,A1,254 SHIRLEY AVENUE,,10312,1,0,1,7500,3205,1970,1,A1,915000,2018-12-21 00:00:00
6,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,,A1,119 LENZIE STREET,,10312,1,0,1,8000,3660,1998,1,A1,1250000,2018-11-01 00:00:00
7,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,26,,A2,87 ELMBANK STREET,,10312,1,0,1,5000,912,1950,1,A2,530000,2018-04-27 00:00:00
8,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,,A2,192 BATHGATE STREET,,10312,1,0,1,2500,572,1930,1,A2,375000,2018-09-27 00:00:00
9,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A2,7 SANDGAP STREET,,10312,1,0,1,2500,624,1925,1,A2,208000,2018-08-29 00:00:00
10,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,41,,A5,68 SEGUINE PLACE,,10312,1,0,1,2243,1373,1986,1,A5,460000,2018-03-23 00:00:00
11,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,65,,A5,24 SEGUINE PLACE,,10312,1,0,1,2267,1320,1986,1,A5,0,2018-10-11 00:00:00
12,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5,50 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,525000,2018-10-22 00:00:00
13,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5,50 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,638729,2018-04-24 00:00:00
14,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,119,,A5,34 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,625000,2018-06-28 00:00:00
15,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,6,,A5,31 EAGAN AVENUE,,10312,1,0,1,1800,1825,1986,1,A5,500000,2018-10-18 00:00:00
16,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,22,,A5,5 EAGAN AVENUE,,10312,1,0,1,1508,1521,1986,1,A5,346788,2018-11-29 00:00:00
17,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5,94 SEGUINE PLACE,,10312,1,0,1,2300,1320,1986,1,A5,100,2018-03-23 00:00:00
18,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5,94 SEGUINE PLACE,,10312,1,0,1,2300,1320,1986,1,A5,395460,2018-09-20 00:00:00
19,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,41,,A5,90 SEGUINE PLACE,,10312,1,0,1,1508,1068,1986,1,A5,0,2018-06-13 00:00:00
20,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,161,,A5,97 JEANETTE AVENUE,,10312,1,0,1,2720,1734,2007,1,A5,0,2018-02-02 00:00:00
21,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,10,,A2,147 FABIAN STREET,,10312,1,0,1,4200,1848,1965,1,A2,0,2018-06-12 00:00:00
22,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,47,,A1,76 EAGAN AVENUE,,10312,1,0,1,10000,1718,0,1,A1,625000,2018-02-28 00:00:00
23,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,42,,A5,36 EAGAN AVENUE,,10312,1,0,1,2333,1515,1992,1,A5,475000,2018-08-17 00:00:00
24,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,141,,A5,34 EAGAN AVENUE,,10312,1,0,1,1333,1010,1992,1,A5,427000,2018-12-10 00:00:00
25,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,7,,A5,70 LORRAINE AVENUE,,10312,1,0,1,2730,1700,2004,1,A5,542500,2018-03-19 00:00:00
26,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,24,,A5,49 ENDVIEW STREET,,10312,1,0,1,2260,1700,2004,1,A5,555000,2018-01-31 00:00:00
27,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,14,,A5,45 BARB STREET,,10312,1,0,1,1585,1339,2004,1,A5,542000,2018-11-15 00:00:00
28,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,15,,A5,43 BARB STREET,,10312,1,0,1,1585,1339,2004,1,A5,545000,2018-12-17 00:00:00
29,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,64,,A5,42 ENDVIEW STREET,,10312,1,0,1,2678,1344,2003,1,A5,560000,2018-01-08 00:00:00
30,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,65,,A5,46 ENDVIEW STREET,,10312,1,0,1,2678,1344,2003,1,A5,525417,2018-01-19 00:00:00
31,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,15,,A1,1014 ARDEN AVENUE,,10312,1,0,1,3150,768,1925,1,A1,0,2018-07-16 00:00:00
32,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,15,,A1,1014 ARDEN AVENUE,,10312,1,0,1,3150,768,1925,1,A1,0,2018-09-10 00:00:00
33,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,26,,A1,1036 ARDEN AVENUE,,10312,1,0,1,3885,2448,1925,1,A1,0,2018-09-19 00:00:00
34,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,63,,A1,11 JEANNETTE AVENUE,,10312,1,0,1,4640,2350,2006,1,A1,945000,2018-06-19 00:00:00
35,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,33,,A5,58 JEANNETTE AVENUE,,10312,1,0,1,2490,1600,2004,1,A5,610000,2018-11-30 00:00:00
